UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,L00001,L,297.0,306.4,1416,44.7,2,0,0,0,0,0,0
2,H00001,H,297.7,307.4,1476,40.0,7,0,0,0,0,0,0
3,M00001,M,300.8,309.7,1351,43.9,10,0,0,0,0,0,0
4,M00002,M,297.7,306.8,1531,33.9,13,0,0,0,0,0,0
5,L00002,L,302.2,312.7,1597,40.9,15,0,0,0,0,0,0
6,L00003,L,299.9,310.0,1403,35.8,17,0,0,0,0,0,0
7,L00004,L,300.2,310.7,1540,32.7,19,0,0,0,0,0,0
8,H00002,H,299.4,309.7,1458,34.8,24,0,0,0,0,0,0
9,M00003,M,301.5,312.3,1605,36.7,27,0,0,0,0,0,0
10,M00004,M,301.6,312.4,1307,47.5,30,0,0,0,0,0,0
11,L00005,L,300.7,308.9,1609,36.6,32,0,0,0,0,0,0
12,H00003,H,301.1,310.3,1356,32.4,37,0,0,0,0,0,0
13,H00004,H,299.6,309.3,1517,40.8,42,0,0,0,0,0,0
14,L00006,L,301.1,311.1,1467,40.2,44,0,0,0,0,0,0
15,L00007,L,299.3,308.7,1502,37.0,46,0,0,0,0,0,0
16,L00008,L,300.0,310.9,1385,39.0,48,0,0,0,0,0,0
17,L00009,L,299.5,311.4,1704,45.9,50,0,0,0,0,0,0
18,M00005,M,299.1,309.3,1409,44.0,53,0,0,0,0,0,0
19,L00010,L,298.6,308.7,1417,43.5,55,0,0,0,0,0,0
20,L00011,L,300.9,311.8,1717,32.9,57,0,0,0,0,0,0
21,M00006,M,302.6,310.8,1570,57.3,60,1,0,0,1,0,0
22,L00012,L,302.3,312.4,1413,46.3,62,0,0,0,0,0,0
23,L00013,L,297.5,308.5,1525,43.1,64,0,0,0,0,0,0
24,L00014,L,302.6,311.9,1514,33.0,66,0,0,0,0,0,0
25,L00015,L,299.4,308.1,1369,45.7,68,0,0,0,0,0,0
26,M00007,M,301.2,311.0,1462,37.0,71,0,0,0,0,0,0
27,L00016,L,298.2,308.1,1535,38.8,73,0,0,0,0,0,0
28,M00008,M,300.3,309.4,1665,29.9,76,0,0,0,0,0,0
29,M00009,M,300.6,312.7,1519,32.6,79,0,0,0,0,0,0
30,L00017,L,297.0,306.6,1527,42.6,81,0,0,0,0,0,0
31,M00010,M,301.2,310.1,1456,46.0,84,0,0,0,0,0,0
32,L00018,L,302.7,312.6,1648,44.1,86,0,0,0,0,0,0
33,L00019,L,299.7,310.6,1628,43.9,88,0,0,0,0,0,0
34,H00005,H,302.7,312.7,1617,39.6,93,0,0,0,0,0,0
35,H00006,H,299.6,310.1,1549,37.6,98,0,0,0,0,0,0
36,H00007,H,301.7,310.8,1378,41.7,103,0,0,0,0,0,0
37,L00020,L,295.6,307.1,1647,44.9,105,0,0,0,0,0,0
38,L00021,L,304.8,315.4,1544,40.0,107,0,0,0,0,0,0
39,M00011,M,303.0,314.0,1507,47.3,110,0,0,0,0,0,0
40,L00022,L,299.4,309.8,1583,38.7,112,0,0,0,0,0,0
41,L00023,L,296.1,306.9,1560,34.1,114,0,0,0,0,0,0
42,L00024,L,300.6,309.7,1431,39.9,116,0,0,0,0,0,0
43,L00025,L,297.1,306.6,1506,40.6,118,0,0,0,0,0,0
44,H00008,H,300.9,312.2,1348,39.5,123,0,0,0,0,0,0
45,L00026,L,300.8,312.4,1547,47.7,125,0,0,0,0,0,0
46,M00012,M,298.1,307.0,1671,44.8,128,0,0,0,0,0,0
47,L00027,L,302.2,312.5,1358,31.4,130,0,0,0,0,0,0
48,M00013,M,301.6,311.2,1551,49.2,133,0,0,0,0,0,0
49,M00014,M,302.0,311.3,1605,23.6,136,0,0,0,0,0,0
50,L00028,L,300.0,310.3,1620,52.9,138,0,0,0,0,0,0
51,H00009,H,297.2,308.3,1463,38.3,143,0,0,0,0,0,0
52,M00015,M,302.0,312.4,1428,38.9,146,0,0,0,0,0,0
53,H00010,H,299.5,309.1,1479,39.6,151,0,0,0,0,0,0
54,H00011,H,297.2,307.7,1657,42.3,156,0,0,0,0,0,0
55,M00016,M,302.7,312.3,1367,40.0,159,0,0,0,0,0,0
56,H00012,H,304.2,314.6,1416,39.2,164,0,0,0,0,0,0
57,L00029,L,299.9,311.3,1492,47.9,166,0,0,0,0,0,0
58,L00030,L,304.3,312.2,1440,43.4,168,0,0,0,0,0,0
59,L00031,L,300.2,311.0,1534,34.2,170,0,0,0,0,0,0
60,L00032,L,299.2,307.7,1679,44.4,172,0,0,0,0,0,0
61,L00033,L,298.7,310.0,1418,43.1,174,0,0,0,0,0,0
62,L00034,L,303.3,312.6,1523,36.7,176,0,0,0,0,0,0
63,H00013,H,298.4,307.2,1537,44.8,181,0,0,0,0,0,0
64,L00035,L,301.5,312.2,1505,39.1,183,0,0,0,0,0,0
65,L00036,L,298.9,309.2,1380,38.7,185,0,0,0,0,0,0
66,M00017,M,299.1,308.1,1474,38.5,188,0,0,0,0,0,0
67,L00037,L,302.1,310.8,1475,25.4,190,0,0,0,0,0,0
68,H00014,H,299.2,309.1,1601,36.8,195,0,0,0,0,0,0
69,L00038,L,299.2,308.0,1580,44.3,197,0,0,0,0,0,0
70,H00015,H,302.3,311.2,1383,39.9,202,0,0,0,0,0,0
71,M00018,M,303.2,313.3,1499,32.3,205,0,0,0,0,0,0
72,L00039,L,301.3,310.3,1488,45.8,207,0,0,0,0,0,0
73,L00040,L,298.7,309.1,1733,38.2,209,0,0,0,0,0,0
74,H00016,H,299.0,310.5,1567,32.7,214,0,0,0,0,0,0
75,M00019,M,300.2,310.0,1430,53.2,3,0,0,0,0,0,0
76,M00020,M,300.6,310.8,1460,33.7,6,0,0,0,0,0,0
77,M00021,M,298.0,310.0,1500,45.3,9,0,0,0,0,0,0
78,L00041,L,301.4,310.3,1574,35.4,11,0,0,0,0,0,0
79,L00042,L,300.2,311.4,1586,40.8,13,0,0,0,0,0,0
80,L00043,L,296.6,307.6,1558,34.6,15,0,0,0,0,0,0
81,H00017,H,298.1,309.0,1517,32.6,20,0,0,0,0,0,0
82,M00022,M,299.0,310.3,1524,43.1,23,0,0,0,0,0,0
83,L00044,L,299.9,310.1,1525,42.4,25,0,0,0,0,0,0
84,L00045,L,303.8,313.2,1360,46.9,27,0,0,0,0,0,0
85,L00046,L,300.5,311.6,1532,39.8,29,0,0,0,0,0,0
86,L00047,L,298.3,309.5,1480,53.3,31,0,0,0,0,0,0
87,M00023,M,300.4,311.5,1373,41.6,34,0,0,0,0,0,0
88,M00024,M,299.3,309.3,1780,43.4,37,0,0,0,0,0,0
89,H00018,H,300.6,309.9,1569,31.8,42,0,0,0,0,0,0
90,L00048,L,301.2,311.4,1539,36.3,44,0,0,0,0,0,0
91,L00049,L,302.4,313.4,1501,43.1,46,0,0,0,0,0,0
92,M00025,M,300.0,311.0,1611,39.5,49,0,0,0,0,0,0
93,M00026,M,303.3,312.8,1422,41.1,52,0,0,0,0,0,0
94,M00027,M,301.8,312.1,1507,35.1,55,0,0,0,0,0,0
95,M00028,M,298.6,307.3,1443,40.7,58,0,0,0,0,0,0
96,L00050,L,304.4,315.4,1610,40.7,60,0,0,0,0,0,0
97,M00029,M,300.7,309.9,1455,32.9,63,0,0,0,0,0,0
98,L00051,L,298.3,309.1,1648,43.9,65,0,0,0,0,0,0
99,L00052,L,303.3,312.2,1528,29.8,67,0,0,0,0,0,0
100,L00053,L,304.2,315.2,1615,41.1,69,0,0,0,0,0,0
101,L00054,L,299.9,310.3,1578,50.6,71,0,0,0,0,0,0
102,M00030,M,299.0,308.2,1644,44.1,74,0,0,0,0,0,0
103,L00055,L,299.7,310.3,1444,44.0,76,0,0,0,0,0,0
104,M00031,M,301.4,310.8,1629,34.6,79,0,0,0,0,0,0
105,H00019,H,302.6,313.3,1352,50.6,84,0,0,0,0,0,0
106,L00056,L,301.1,310.9,1542,48.3,86,0,0,0,0,0,0
107,L00057,L,300.2,308.5,1483,34.9,88,0,0,0,0,0,0
108,M00032,M,303.0,312.0,1398,37.2,91,0,0,0,0,0,0
109,L00058,L,299.4,308.9,1449,47.5,93,0,0,0,0,0,0
110,L00059,L,302.1,313.4,1474,50.8,95,0,0,0,0,0,0
111,L00060,L,299.4,310.3,1518,32.4,97,0,0,0,0,0,0
112,L00061,L,300.9,312.5,1486,34.0,99,0,0,0,0,0,0
113,H00020,H,299.8,311.4,1546,39.1,104,0,0,0,0,0,0
114,H00021,H,299.9,309.4,1455,27.0,109,0,0,0,0,0,0
115,M00033,M,299.2,309.1,1490,40.1,112,0,0,0,0,0,0
116,H00022,H,302.7,312.3,1509,47.1,117,0,0,0,0,0,0
117,H00023,H,298.5,307.9,1556,31.4,122,0,0,0,0,0,0
118,L00062,L,298.5,306.7,1623,40.8,124,0,0,0,0,0,0
119,H00024,H,304.2,314.2,1623,36.5,129,0,0,0,0,0,0
120,M00034,M,302.0,310.7,1562,49.8,132,0,0,0,0,0,0
121,H00025,H,295.2,305.2,1581,36.6,137,0,0,0,0,0,0
122,H00026,H,298.9,311.0,1569,49.1,142,0,0,0,0,0,0
123,L00063,L,296.4,305.9,1507,36.4,144,0,0,0,0,0,0
124,L00064,L,298.1,308.3,1628,44.6,146,0,0,0,0,0,0
125,L00065,L,293.7,304.6,1447,41.5,148,0,0,0,0,0,0
126,L00066,L,299.7,310.0,1333,39.2,150,0,0,0,0,0,0
127,H00027,H,297.7,308.0,1434,35.3,155,0,0,0,0,0,0
128,H00028,H,300.1,309.8,1678,41.9,160,0,0,0,0,0,0
129,L00067,L,296.7,306.5,1508,37.4,162,0,0,0,0,0,0
130,M00035,M,300.2,309.2,1565,35.9,165,0,0,0,0,0,0
131,L00068,L,299.2,310.0,1511,48.8,167,0,0,0,0,0,0
132,L00069,L,303.0,311.3,1594,43.3,169,0,0,0,0,0,0
133,L00070,L,302.8,313.8,1545,43.9,171,0,0,0,0,0,0
134,L00071,L,301.6,310.2,1531,37.7,173,0,0,0,0,0,0
135,H00029,H,299.3,310.3,1599,38.9,178,0,0,0,0,0,0
136,L00072,L,304.0,313.6,1491,38.5,180,0,0,0,0,0,0
137,M00036,M,296.9,305.7,1575,42.0,183,0,0,0,0,0,0
138,M00037,M,297.2,307.8,1521,43.9,186,0,0,0,0,0,0
139,L00073,L,299.8,310.8,1527,39.8,188,0,0,0,0,0,0
140,H00030,H,304.5,314.1,1456,35.2,193,0,0,0,0,0,0
141,H00031,H,299.6,310.3,1516,44.6,198,0,0,0,0,0,0
142,L00074,L,299.6,307.3,1484,40.2,200,0,0,0,0,0,0
143,L00075,L,297.1,305.8,1651,31.4,202,0,0,0,0,0,0
144,L00076,L,301.9,313.2,1370,27.2,204,0,0,0,0,0,0
145,L00077,L,301.9,311.7,1627,41.8,206,0,0,0,0,0,0
146,L00078,L,301.6,309.7,1364,35.0,208,1,0,1,0,0,0
147,M00038,M,298.7,308.0,1592,42.6,211,0,0,0,0,0,0
148,M00039,M,298.6,307.7,1454,35.3,214,0,0,0,0,0,0
149,L00079,L,297.4,307.2,1595,40.8,216,0,0,0,0,0,0
150,L00080,L,300.2,309.8,1526,37.7,218,0,0,0,0,0,0
151,H00032,H,297.8,308.0,1395,50.5,223,0,0,0,0,0,0
152,L00081,L,297.6,307.6,1674,45.7,225,1,1,0,0,0,0
153,L00082,L,299.2,310.5,1616,48.1,2,0,0,0,0,0,0
154,L00083,L,299.0,309.4,1588,40.1,4,0,0,0,0,0,0
155,H00033,H,298.9,309.4,1474,44.9,9,0,0,0,0,0,0
156,L00084,L,300.9,312.1,1619,40.5,11,0,0,0,0,0,0
157,M00040,M,300.2,309.8,1410,48.8,14,0,0,0,0,0,0
158,M00041,M,299.4,308.2,1315,39.6,17,0,0,0,0,0,0
159,L00085,L,300.4,311.6,1382,31.6,19,0,0,0,0,0,0
